Buy Date,Buy Price,Sell Date,Sell Price,Long Profit
2023-05-12,231.4499969482422,2023-05-26,262.0400085449219,30.590011596679688
2023-05-19,243.41000366210938,2023-06-02,272.6099853515625,29.199981689453125
2023-05-25,249.1699981689453,2023-06-08,264.5799865722656,15.409988403320312
2023-05-30,261.2900085449219,2023-06-13,271.32000732421875,10.029998779296875
2023-06-07,262.79998779296875,2023-06-21,281.6400146484375,18.84002685546875
2023-06-13,269.0899963378906,2023-06-27,287.04998779296875,17.959991455078125
2023-06-14,268.32000732421875,2023-06-28,285.2900085449219,16.970001220703125
2023-06-16,280.1300048828125,2023-06-30,286.9800109863281,6.850006103515625
2023-06-21,278.3599853515625,2023-07-05,294.3699951171875,16.010009765625
2023-06-26,277.6000061035156,2023-07-10,294.1000061035156,16.5
2023-06-29,280.69000244140625,2023-07-13,313.4100036621094,32.720001220703125
2023-07-06,291.30999755859375,2023-07-20,302.5199890136719,11.209991455078125
2023-07-07,288.6600036621094,2023-07-21,294.260009765625,5.600006103515625
2023-07-10,287.04998779296875,2023-07-24,291.6099853515625,4.55999755859375
2023-07-13,310.2900085449219,2023-07-27,311.7099914550781,1.41998291015625
2023-07-14,307.3599853515625,2023-07-28,325.4800109863281,18.120025634765625
2023-07-18,307.6199951171875,2023-08-01,322.7099914550781,15.089996337890625
2023-07-20,302.2200012207031,2023-08-03,313.19000244140625,10.970001220703125
2023-07-21,291.20001220703125,2023-08-04,310.7300109863281,19.529998779296875
2023-07-24,288.29998779296875,2023-08-07,316.55999755859375,28.260009765625
2023-07-25,291.8599853515625,2023-08-08,312.6400146484375,20.780029296875
2023-07-26,291.8999938964844,2023-08-09,305.2099914550781,13.30999755859375
2023-07-27,309.8399963378906,2023-08-10,305.739990234375,-4.100006103515625
2023-07-31,317.5899963378906,2023-08-14,306.19000244140625,-11.399993896484375
2023-08-02,310.6499938964844,2023-08-16,294.2900085449219,-16.3599853515625
2023-08-04,310.20001220703125,2023-08-18,283.25,-26.95001220703125
2023-08-08,310.1099853515625,2023-08-22,287.6000061035156,-22.509979248046875
2023-08-09,302.8500061035156,2023-08-23,294.239990234375,-8.610015869140625
2023-08-10,303.8699951171875,2023-08-24,286.75,-17.1199951171875
2023-08-15,300.0299987792969,2023-08-29,297.989990234375,-2.040008544921875
2023-08-16,294.2799987792969,2023-08-30,295.1000061035156,0.82000732421875
2023-08-17,284.95001220703125,2023-08-31,295.8900146484375,10.94000244140625
2023-08-18,274.3800048828125,2023-09-01,296.3800048828125,22.0
2023-08-22,286.75,2023-09-05,300.1499938964844,13.399993896484375
2023-08-24,286.6400146484375,2023-09-07,298.6700134277344,12.029998779296875
2023-08-25,276.0299987792969,2023-09-08,297.8900146484375,21.860015869140625
2023-08-30,293.42999267578125,2023-09-13,305.05999755859375,11.6300048828125
2023-09-01,294.4700012207031,2023-09-15,300.30999755859375,5.839996337890625
2023-09-06,295.6600036621094,2023-09-20,299.6700134277344,4.010009765625
2023-09-07,292.2200012207031,2023-09-21,295.7300109863281,3.510009765625
2023-09-12,300.2300109863281,2023-09-26,298.9599914550781,-1.27001953125
2023-09-15,298.75,2023-09-29,300.2099914550781,1.459991455078125
2023-09-20,299.42999267578125,2023-10-04,305.5799865722656,6.149993896484375
2023-09-27,286.7900085449219,2023-10-11,327.82000732421875,41.029998779296875
2023-09-29,299.3599853515625,2023-10-13,314.69000244140625,15.33001708984375
2023-10-03,299.6400146484375,2023-10-17,324.0,24.3599853515625
2023-10-05,299.5,2023-10-19,312.80999755859375,13.30999755859375
2023-10-12,322.69000244140625,2023-10-26,288.3500061035156,-34.339996337890625
2023-10-13,312.3699951171875,2023-10-27,296.7300109863281,-15.639984130859375
2023-10-18,315.55999755859375,2023-11-01,311.8500061035156,-3.709991455078125
2023-10-19,311.75,2023-11-02,310.8699951171875,-0.8800048828125
2023-10-20,306.4700012207031,2023-11-03,314.6000061035156,8.1300048828125
2023-10-24,310.6300048828125,2023-11-07,318.82000732421875,8.19000244140625
2023-10-25,298.8399963378906,2023-11-08,319.7799987792969,20.94000244140625
2023-10-26,279.3999938964844,2023-11-09,320.54998779296875,41.149993896484375
2023-10-31,296.8599853515625,2023-11-14,336.30999755859375,39.45001220703125
2023-11-02,308.3299865722656,2023-11-16,334.19000244140625,25.860015869140625
2023-11-08,314.8800048828125,2023-11-22,341.489990234375,26.6099853515625
2023-11-15,330.0199890136719,2023-11-29,332.20001220703125,2.180023193359375
2023-11-29,330.7799987792969,2023-12-13,334.739990234375,3.959991455078125
2023-11-30,322.3999938964844,2023-12-14,333.1700134277344,10.77001953125
2023-12-01,320.760009765625,2023-12-15,334.9200134277344,14.160003662109375
2023-12-04,313.6600036621094,2023-12-18,344.6199951171875,30.959991455078125
2023-12-05,315.3900146484375,2023-12-19,350.3599853515625,34.969970703125
2023-12-06,317.0400085449219,2023-12-20,349.2799987792969,32.239990234375
2023-12-14,328.6400146484375,2023-12-28,358.32000732421875,29.67999267578125
2023-12-21,349.2099914550781,2024-01-04,347.1199951171875,-2.089996337890625
2023-12-22,351.2200012207031,2024-01-05,351.95001220703125,0.730010986328125
2023-12-29,351.82000732421875,2024-01-12,374.489990234375,22.66998291015625
2024-01-02,340.010009765625,2024-01-16,367.4599914550781,27.449981689453125
2024-01-11,362.92999267578125,2024-01-25,393.17999267578125,30.25
2024-01-16,367.2300109863281,2024-01-30,400.05999755859375,32.829986572265625
2024-01-17,358.6099853515625,2024-01-31,390.1400146484375,31.530029296875
2024-01-22,381.1600036621094,2024-02-05,459.4100036621094,78.25
2024-01-25,385.6600036621094,2024-02-08,470.0,84.33999633789062
2024-02-02,453.010009765625,2024-02-16,473.32000732421875,20.30999755859375
2024-02-06,453.0,2024-02-20,471.75,18.75
2024-02-09,467.4700012207031,2024-02-23,484.0299987792969,16.55999755859375
2024-02-16,469.2099914550781,2024-03-01,502.29998779296875,33.089996337890625
2024-02-21,461.7900085449219,2024-03-06,496.0899963378906,34.29998779296875
2024-02-23,482.3500061035156,2024-03-08,505.95001220703125,23.600006103515625
2024-02-29,482.6099853515625,2024-03-14,491.8299865722656,9.220001220703125
2024-03-04,496.4200134277344,2024-03-18,496.9800109863281,0.55999755859375
2024-03-05,487.8900146484375,2024-03-19,496.239990234375,8.3499755859375
2024-03-08,499.3500061035156,2024-03-22,509.5799865722656,10.22998046875
2024-03-11,476.0,2024-03-25,503.0199890136719,27.019989013671875
2024-03-12,484.7300109863281,2024-03-26,495.8900146484375,11.160003662109375
2024-03-14,488.1600036621094,2024-03-28,485.5799865722656,-2.58001708984375
2024-03-18,486.80999755859375,2024-04-01,491.3500061035156,4.540008544921875
2024-03-19,481.2799987792969,2024-04-02,497.3699951171875,16.089996337890625
2024-03-21,506.010009765625,2024-04-04,510.9200134277344,4.910003662109375
2024-03-25,500.239990234375,2024-04-08,519.25,19.010009765625
2024-03-26,495.2099914550781,2024-04-09,516.9000244140625,21.690032958984375
2024-03-27,488.07000732421875,2024-04-10,519.8300170898438,31.760009765625
2024-03-28,485.1499938964844,2024-04-11,523.1599731445312,38.009979248046875
2024-04-01,481.7799987792969,2024-04-15,500.2300109863281,18.45001220703125
2024-04-04,510.5799865722656,2024-04-18,501.79998779296875,-8.779998779296875
2024-04-08,518.8900146484375,2024-04-22,481.7300109863281,-37.160003662109375
2024-04-09,506.739990234375,2024-04-23,496.1000061035156,-10.639984130859375
2024-04-12,509.3299865722656,2024-04-26,443.2900085449219,-66.03997802734375
2024-04-15,497.2799987792969,2024-04-29,432.6199951171875,-64.66000366210938
2024-04-17,487.1400146484375,2024-05-01,439.19000244140625,-47.95001220703125
2024-04-19,475.7300109863281,2024-05-03,451.9599914550781,-23.77001953125
2024-04-22,473.3999938964844,2024-05-06,465.67999267578125,-7.720001220703125
2024-04-24,484.5799865722656,2024-05-08,472.6000061035156,-11.97998046875
2024-04-25,414.5,2024-05-09,475.4200134277344,60.920013427734375
2024-04-26,431.9599914550781,2024-05-10,476.20001220703125,44.240020751953125
