Buy Date,Buy Price,Sell Date,Sell Price,Long Profit
2023-05-08,169.19000244140625,2023-05-22,188.8699951171875,19.67999267578125
2023-05-10,166.67999267578125,2023-05-24,182.89999389648438,16.220001220703125
2023-05-12,167.22999572753906,2023-05-26,193.1699981689453,25.94000244140625
2023-05-24,178.22000122070312,2023-06-07,224.57000732421875,46.350006103515625
2023-05-25,180.5800018310547,2023-06-08,234.86000061035156,54.279998779296875
2023-05-31,195.1199951171875,2023-06-14,256.7900085449219,61.670013427734375
2023-06-09,242.02000427246094,2023-06-23,256.6000061035156,14.580001831054688
2023-06-14,250.5,2023-06-28,256.239990234375,5.739990234375
2023-06-21,257.7799987792969,2023-07-05,282.4800109863281,24.70001220703125
2023-06-23,252.8000030517578,2023-07-07,274.42999267578125,21.629989624023438
2023-06-26,240.6999969482422,2023-07-10,269.6099853515625,28.909988403320312
2023-07-10,265.1000061035156,2023-07-24,269.05999755859375,3.959991455078125
2023-07-19,289.5199890136719,2023-08-02,254.11000061035156,-35.40998840332031
2023-07-20,261.20001220703125,2023-08-03,259.32000732421875,-1.8800048828125
2023-07-21,255.8000030517578,2023-08-04,253.86000061035156,-1.94000244140625
2023-07-25,265.0,2023-08-08,249.6999969482422,-15.300003051757812
2023-07-27,255.3000030517578,2023-08-10,245.33999633789062,-9.960006713867188
2023-08-01,260.25,2023-08-15,232.9600067138672,-27.289993286132812
2023-08-04,253.11000061035156,2023-08-18,215.49000549316406,-37.6199951171875
2023-08-07,242.75999450683594,2023-08-21,231.27999877929688,-11.479995727539062
2023-08-09,241.89999389648438,2023-08-23,236.86000061035156,-5.0399932861328125
2023-08-15,232.61000061035156,2023-08-29,257.17999267578125,24.569992065429688
2023-08-17,218.8300018310547,2023-08-31,258.0799865722656,39.24998474121094
2023-08-22,229.5500030517578,2023-09-05,256.489990234375,26.939987182617188
2023-08-24,228.17999267578125,2023-09-07,251.49000549316406,23.310012817382812
2023-08-28,235.35000610351562,2023-09-11,273.5799865722656,38.22998046875
2023-09-01,242.00999450683594,2023-09-15,274.3900146484375,32.38002014160156
2023-09-06,245.05999755859375,2023-09-20,262.5899963378906,17.529998779296875
2023-09-15,271.0,2023-09-29,250.22000122070312,-20.779998779296875
2023-09-18,263.760009765625,2023-10-02,251.60000610351562,-12.160003662109375
2023-09-22,244.47999572753906,2023-10-06,260.5299987792969,16.050003051757812
2023-09-27,234.5800018310547,2023-10-11,262.989990234375,28.409988403320312
2023-10-12,256.6300048828125,2023-10-26,205.75999450683594,-50.87001037597656
2023-10-13,250.22000122070312,2023-10-27,207.3000030517578,-42.91999816894531
2023-10-18,242.0800018310547,2023-11-01,205.66000366210938,-36.41999816894531
2023-10-19,216.77999877929688,2023-11-02,218.50999450683594,1.7299957275390625
2023-10-20,210.4199981689453,2023-11-03,219.9600067138672,9.540008544921875
2023-10-23,202.50999450683594,2023-11-06,219.27000427246094,16.760009765625
2023-10-26,204.8800048828125,2023-11-09,209.97999572753906,5.0999908447265625
2023-10-27,205.77000427246094,2023-11-10,214.64999389648438,8.879989624023438
2023-10-30,194.6699981689453,2023-11-13,223.7100067138672,29.040008544921875
2023-11-01,197.85000610351562,2023-11-15,242.83999633789062,44.989990234375
2023-11-06,215.0,2023-11-20,235.60000610351562,20.600006103515625
2023-11-08,217.63999938964844,2023-11-22,234.2100067138672,16.57000732421875
2023-11-16,230.9600067138672,2023-11-30,240.0800018310547,9.1199951171875
2023-11-17,226.5399932861328,2023-12-01,238.8300018310547,12.290008544921875
2023-11-22,231.39999389648438,2023-12-06,239.3699951171875,7.970001220703125
2023-11-29,242.75999450683594,2023-12-13,239.2899932861328,-3.470001220703125
2023-11-30,236.91000366210938,2023-12-14,251.0500030517578,14.139999389648438
2023-12-13,228.1999969482422,2023-12-27,261.44000244140625,33.24000549316406
2023-12-20,247.0,2024-01-03,238.4499969482422,-8.550003051757812
2023-12-28,252.7100067138672,2024-01-11,227.22000122070312,-25.490005493164062
2023-12-29,247.42999267578125,2024-01-12,218.88999938964844,-28.539993286132812
2024-01-02,244.41000366210938,2024-01-16,219.91000366210938,-24.5
2024-01-03,236.32000732421875,2024-01-17,215.5500030517578,-20.770004272460938
2024-01-09,232.0399932861328,2024-01-23,209.13999938964844,-22.899993896484375
2024-01-11,225.3699951171875,2024-01-25,182.6300048828125,-42.739990234375
2024-01-18,208.74000549316406,2024-02-01,188.86000061035156,-19.8800048828125
2024-01-22,206.27000427246094,2024-02-05,181.05999755859375,-25.210006713867188
2024-01-24,206.77000427246094,2024-02-07,187.5800018310547,-19.19000244140625
2024-01-25,180.05999755859375,2024-02-08,189.55999755859375,9.5
2024-01-30,190.61000061035156,2024-02-13,184.02000427246094,-6.589996337890625
2024-02-01,184.27999877929688,2024-02-15,200.4499969482422,16.169998168945312
2024-02-07,182.67999267578125,2024-02-21,194.77000427246094,12.090011596679688
2024-02-12,187.27999877929688,2024-02-26,199.39999389648438,12.1199951171875
2024-02-16,197.39999389648438,2024-03-01,202.63999938964844,5.2400054931640625
2024-02-20,189.1300048828125,2024-03-05,180.74000549316406,-8.389999389648438
2024-02-27,198.25999450683594,2024-03-12,177.5399932861328,-20.720001220703125
2024-02-29,198.4499969482422,2024-03-14,162.5,-35.94999694824219
2024-03-04,186.72000122070312,2024-03-18,173.8000030517578,-12.919998168945312
2024-03-05,177.57000732421875,2024-03-19,171.32000732421875,-6.25
2024-03-06,173.6999969482422,2024-03-20,175.66000366210938,1.9600067138671875
2024-03-08,174.6999969482422,2024-03-22,170.8300018310547,-3.8699951171875
2024-03-12,172.41000366210938,2024-03-26,177.6699981689453,5.2599945068359375
2024-03-13,169.14999389648438,2024-03-27,179.8300018310547,10.680007934570312
2024-03-14,160.50999450683594,2024-03-28,175.7899932861328,15.279998779296875
2024-03-18,165.89999389648438,2024-04-01,175.22000122070312,9.32000732421875
2024-03-19,167.4199981689453,2024-04-02,166.6300048828125,-0.7899932861328125
2024-03-21,171.8000030517578,2024-04-04,171.11000061035156,-0.69000244140625
2024-03-27,176.0,2024-04-10,171.75999450683594,-4.2400054931640625
2024-04-01,170.2100067138672,2024-04-15,161.47999572753906,-8.730010986328125
2024-04-05,160.50999450683594,2024-04-19,147.0500030517578,-13.459991455078125
2024-04-11,168.50999450683594,2024-04-25,170.17999267578125,1.6699981689453125
2024-04-15,161.3800048828125,2024-04-29,194.0500030517578,32.66999816894531
2024-04-17,153.77999877929688,2024-05-01,179.99000549316406,26.210006713867188
