Buy Date,Buy Price,Sell Date,Sell Price,Long Profit
2023-05-04,13.350000381469727,2023-05-11,14.069999694824219,0.7199993133544922
2023-05-09,14.210000038146973,2023-05-16,14.199999809265137,-0.010000228881835938
2023-05-10,14.050000190734863,2023-05-17,14.90999984741211,0.8599996566772461
2023-05-11,14.020000457763672,2023-05-18,15.050000190734863,1.0299997329711914
2023-05-12,13.869999885559082,2023-05-19,14.819999694824219,0.9499998092651367
2023-05-16,13.970000267028809,2023-05-23,14.069999694824219,0.09999942779541016
2023-05-19,14.630000114440918,2023-05-26,14.350000381469727,-0.2799997329711914
2023-05-23,14.069999694824219,2023-05-30,14.619999885559082,0.5500001907348633
2023-05-24,13.550000190734863,2023-05-31,14.779999732971191,1.2299995422363281
2023-05-31,14.489999771118164,2023-06-07,15.15999984741211,0.6700000762939453
2023-06-01,14.609999656677246,2023-06-08,15.300000190734863,0.6900005340576172
2023-06-02,14.640000343322754,2023-06-09,15.569999694824219,0.9299993515014648
2023-06-05,14.680000305175781,2023-06-12,16.020000457763672,1.3400001525878906
2023-06-16,16.43000030517578,2023-06-23,16.260000228881836,-0.1700000762939453
2023-06-20,16.15999984741211,2023-06-27,17.350000381469727,1.1900005340576172
2023-06-21,16.0,2023-06-28,17.549999237060547,1.5499992370605469
2023-07-06,17.670000076293945,2023-07-13,18.450000762939453,0.7800006866455078
2023-07-11,18.440000534057617,2023-07-18,18.68000030517578,0.23999977111816406
2023-07-12,18.489999771118164,2023-07-19,18.600000381469727,0.1100006103515625
2023-07-13,18.239999771118164,2023-07-20,17.440000534057617,-0.7999992370605469
2023-07-14,17.959999084472656,2023-07-21,17.420000076293945,-0.5399990081787109
2023-07-19,18.440000534057617,2023-07-26,16.760000228881836,-1.6800003051757812
2023-07-20,17.280000686645508,2023-07-27,16.56999969482422,-0.7100009918212891
2023-07-21,17.100000381469727,2023-07-28,16.790000915527344,-0.3099994659423828
2023-07-24,16.860000610351562,2023-07-31,16.75,-0.1100006103515625
2023-07-25,16.190000534057617,2023-08-01,16.229999542236328,0.03999900817871094
2023-07-26,16.510000228881836,2023-08-02,15.949999809265137,-0.5600004196166992
2023-07-27,16.34000015258789,2023-08-03,15.979999542236328,-0.3600006103515625
2023-07-28,16.59000015258789,2023-08-04,15.84000015258789,-0.75
2023-07-31,16.59000015258789,2023-08-07,15.989999771118164,-0.6000003814697266
2023-08-01,15.9399995803833,2023-08-08,16.18000030517578,0.24000072479248047
2023-08-02,15.779999732971191,2023-08-09,15.760000228881836,-0.01999950408935547
2023-08-04,15.779999732971191,2023-08-11,15.649999618530273,-0.13000011444091797
2023-08-09,15.720000267028809,2023-08-16,15.4399995803833,-0.2800006866455078
2023-08-10,15.649999618530273,2023-08-17,15.050000190734863,-0.5999994277954102
2023-08-15,15.510000228881836,2023-08-22,14.829999923706055,-0.6800003051757812
2023-08-16,15.390000343322754,2023-08-23,14.779999732971191,-0.6100006103515625
2023-08-17,15.010000228881836,2023-08-24,14.569999694824219,-0.4400005340576172
2023-08-22,14.819999694824219,2023-08-29,14.899999618530273,0.07999992370605469
2023-08-23,14.569999694824219,2023-08-30,14.770000457763672,0.20000076293945312
2023-08-24,14.460000038146973,2023-08-31,14.729999542236328,0.26999950408935547
2023-08-25,14.420000076293945,2023-09-01,14.680000305175781,0.26000022888183594
2023-08-30,14.760000228881836,2023-09-06,14.329999923706055,-0.43000030517578125
2023-08-31,14.680000305175781,2023-09-07,14.0,-0.6800003051757812
2023-09-01,14.59000015258789,2023-09-08,13.979999542236328,-0.6100006103515625
2023-09-05,14.119999885559082,2023-09-12,14.109999656677246,-0.010000228881835938
2023-09-07,13.920000076293945,2023-09-14,13.260000228881836,-0.6599998474121094
2023-09-13,13.199999809265137,2023-09-20,13.0600004196167,-0.1399993896484375
2023-09-14,13.149999618530273,2023-09-21,13.0600004196167,-0.08999919891357422
2023-09-18,13.079999923706055,2023-09-25,12.90999984741211,-0.1700000762939453
2023-09-20,13.050000190734863,2023-09-27,12.609999656677246,-0.4400005340576172
2023-09-22,12.859999656677246,2023-09-29,12.8100004196167,-0.049999237060546875
2023-09-26,12.6899995803833,2023-10-03,12.289999961853027,-0.39999961853027344
2023-09-27,12.5,2023-10-04,12.729999542236328,0.22999954223632812
2023-09-29,12.649999618530273,2023-10-06,12.760000228881836,0.1100006103515625
2023-10-02,12.680000305175781,2023-10-09,12.239999771118164,-0.4400005340576172
2023-10-03,12.25,2023-10-10,12.260000228881836,0.010000228881835938
2023-10-05,12.720000267028809,2023-10-12,12.0600004196167,-0.6599998474121094
2023-10-06,12.670000076293945,2023-10-13,11.720000267028809,-0.9499998092651367
2023-10-09,11.9399995803833,2023-10-16,11.9399995803833,0.0
2023-10-10,12.239999771118164,2023-10-17,11.9399995803833,-0.3000001907348633
2023-10-12,11.930000305175781,2023-10-19,11.449999809265137,-0.48000049591064453
