Buy Date,Buy Price,Sell Date,Sell Price,Long Profit
2023-05-23,171.27999877929688,2023-05-30,177.3000030517578,6.0200042724609375
2023-06-05,178.0399932861328,2023-06-12,183.7899932861328,5.75
2023-06-06,177.42999267578125,2023-06-13,183.30999755859375,5.8800048828125
2023-06-16,184.27000427246094,2023-06-23,186.67999267578125,2.4099884033203125
2023-06-21,182.58999633789062,2023-06-28,189.25,6.660003662109375
2023-07-03,191.75999450683594,2023-07-10,188.61000061035156,-3.149993896484375
2023-07-10,187.0399932861328,2023-07-17,193.99000549316406,6.95001220703125
2023-07-11,186.60000610351562,2023-07-18,193.72999572753906,7.1299896240234375
2023-07-20,192.5,2023-07-27,193.22000122070312,0.720001220703125
2023-07-21,191.22999572753906,2023-07-28,195.8300018310547,4.600006103515625
2023-07-27,192.5500030517578,2023-08-03,191.1699981689453,-1.3800048828125
2023-08-02,191.85000610351562,2023-08-09,178.19000244140625,-13.660003662109375
2023-08-04,181.9199981689453,2023-08-11,177.7899932861328,-4.1300048828125
2023-08-07,177.35000610351562,2023-08-14,179.4600067138672,2.1100006103515625
2023-08-08,177.5800018310547,2023-08-15,177.4499969482422,-0.1300048828125
2023-08-09,177.00999450683594,2023-08-16,176.57000732421875,-0.4399871826171875
2023-08-10,177.60000610351562,2023-08-17,174.0,-3.600006103515625
2023-08-15,177.0500030517578,2023-08-22,177.22999572753906,0.17999267578125
2023-08-17,173.47999572753906,2023-08-24,176.3800048828125,2.9000091552734375
2023-08-24,176.00999450683594,2023-08-31,187.8699951171875,11.860000610351562
2023-09-06,181.47000122070312,2023-09-13,174.2100067138672,-7.2599945068359375
2023-09-11,177.33999633789062,2023-09-18,177.97000122070312,0.6300048828125
2023-09-12,174.82000732421875,2023-09-19,179.07000732421875,4.25
2023-09-13,173.97999572753906,2023-09-20,175.49000549316406,1.510009765625
2023-09-15,173.82000732421875,2023-09-22,174.7899932861328,0.9699859619140625
2023-09-20,175.39999389648438,2023-09-27,170.42999267578125,-4.970001220703125
2023-09-26,171.66000366210938,2023-10-03,172.39999389648438,0.739990234375
2023-09-27,169.0500030517578,2023-10-04,173.66000366210938,4.6100006103515625
2023-09-28,167.6199951171875,2023-10-05,174.91000366210938,7.290008544921875
2023-10-13,178.13999938964844,2023-10-20,172.8800048828125,-5.2599945068359375
2023-10-17,174.8000030517578,2023-10-24,173.44000244140625,-1.3600006103515625
2023-10-20,172.63999938964844,2023-10-27,168.22000122070312,-4.4199981689453125
2023-10-26,165.6699981689453,2023-11-02,177.57000732421875,11.900009155273438
2023-11-29,188.97000122070312,2023-12-06,192.32000732421875,3.350006103515625
2023-12-04,187.4499969482422,2023-12-11,193.17999267578125,5.7299957275390625
2023-12-06,192.11000061035156,2023-12-13,197.9600067138672,5.850006103515625
2023-12-20,194.8300018310547,2023-12-27,193.14999389648438,-1.6800079345703125
2023-12-21,193.5,2023-12-28,193.5800018310547,0.0800018310546875
2023-12-22,192.97000122070312,2023-12-29,192.52999877929688,-0.44000244140625
2023-12-29,191.72999572753906,2024-01-05,181.17999267578125,-10.550003051757812
2024-01-02,183.88999938964844,2024-01-09,185.13999938964844,1.25
2024-01-05,180.1699981689453,2024-01-12,185.9199981689453,5.75
2024-01-11,183.6199951171875,2024-01-18,188.6300048828125,5.010009765625
2024-01-25,193.11000061035156,2024-02-01,186.86000061035156,-6.25
2024-01-26,191.94000244140625,2024-02-02,185.85000610351562,-6.089996337890625
2024-01-29,189.5800018310547,2024-02-05,187.67999267578125,-1.9000091552734375
2024-01-30,187.47000122070312,2024-02-06,189.3000030517578,1.8300018310546875
2024-01-31,184.35000610351562,2024-02-07,189.41000366210938,5.05999755859375
2024-02-05,185.83999633789062,2024-02-12,187.14999389648438,1.30999755859375
2024-02-07,188.61000061035156,2024-02-14,184.14999389648438,-4.4600067138671875
2024-02-08,187.35000610351562,2024-02-15,183.86000061035156,-3.4900054931640625
2024-02-13,183.50999450683594,2024-02-20,181.55999755859375,-1.9499969482421875
2024-02-14,182.44000244140625,2024-02-21,182.32000732421875,-0.1199951171875
2024-02-15,181.35000610351562,2024-02-22,184.3699951171875,3.019989013671875
2024-02-23,182.22999572753906,2024-03-01,179.66000366210938,-2.5699920654296875
2024-02-28,180.1300048828125,2024-03-06,169.1199951171875,-11.010009765625
2024-03-01,177.3800048828125,2024-03-08,170.72999572753906,-6.6500091552734375
2024-03-04,173.7899932861328,2024-03-11,172.75,-1.0399932861328125
2024-03-06,168.67999267578125,2024-03-13,171.1300048828125,2.45001220703125
2024-03-12,171.00999450683594,2024-03-19,176.0800018310547,5.07000732421875
2024-03-13,170.75999450683594,2024-03-20,178.6699981689453,7.910003662109375
2024-03-18,173.52000427246094,2024-03-25,170.85000610351562,-2.6699981689453125
2024-03-21,170.83999633789062,2024-03-28,171.47999572753906,0.6399993896484375
2024-04-10,167.11000061035156,2024-04-17,168.0,0.8899993896484375
2024-04-15,172.5,2024-04-22,165.83999633789062,-6.660003662109375
2024-04-16,168.27000427246094,2024-04-23,166.89999389648438,-1.3700103759765625
2024-04-19,164.0800018310547,2024-04-26,169.3000030517578,5.220001220703125
2024-04-30,170.0,2024-05-07,182.39999389648438,12.399993896484375
2024-05-03,182.66000366210938,2024-05-10,183.0500030517578,0.3899993896484375
2024-05-06,180.4199981689453,2024-05-13,186.27999877929688,5.8600006103515625
2024-05-07,181.32000732421875,2024-05-14,187.42999267578125,6.1099853515625
2024-05-10,182.1300048828125,2024-05-17,189.8699951171875,7.739990234375
