Buy Date,Buy Price,Sell Date,Sell Price,Long Profit
2023-09-06,440.489990234375,2023-09-20,386.29998779296875,-54.19000244140625
2023-09-07,436.70001220703125,2023-09-21,384.1499938964844,-52.550018310546875
2023-09-08,438.8500061035156,2023-09-22,379.80999755859375,-59.040008544921875
2023-09-12,434.1199951171875,2023-09-26,379.25,-54.8699951171875
2023-09-13,410.69000244140625,2023-09-27,377.5899963378906,-33.100006103515625
2023-09-14,400.0,2023-09-28,376.3599853515625,-23.6400146484375
2023-09-15,395.0299987792969,2023-09-29,377.6000061035156,-17.42999267578125
2023-09-20,386.1199951171875,2023-10-04,376.8999938964844,-9.220001220703125
2023-09-22,378.3599853515625,2023-10-06,381.510009765625,3.1500244140625
2023-09-26,377.3599853515625,2023-10-10,373.32000732421875,-4.03997802734375
2023-09-27,376.25,2023-10-11,365.92999267578125,-10.32000732421875
2023-09-28,371.1000061035156,2023-10-12,361.20001220703125,-9.899993896484375
2023-09-29,375.3500061035156,2023-10-13,355.67999267578125,-19.670013427734375
2023-10-03,372.8500061035156,2023-10-17,355.7200012207031,-17.1300048828125
2023-10-05,367.239990234375,2023-10-19,401.7699890136719,34.529998779296875
2023-10-10,372.25,2023-10-24,413.7300109863281,41.480010986328125
2023-10-11,365.3399963378906,2023-10-25,411.25,45.910003662109375
2023-10-12,359.04998779296875,2023-10-26,403.5400085449219,44.490020751953125
2023-10-13,352.04998779296875,2023-10-27,397.8699951171875,45.82000732421875
2023-10-17,353.8900146484375,2023-10-31,411.69000244140625,57.79998779296875
2023-10-18,344.7300109863281,2023-11-01,420.19000244140625,75.45999145507812
2023-10-19,392.260009765625,2023-11-02,424.7099914550781,32.449981689453125
2023-10-20,398.010009765625,2023-11-03,432.3599853515625,34.3499755859375
2023-10-23,398.5199890136719,2023-11-06,434.739990234375,36.220001220703125
2023-10-25,410.1099853515625,2023-11-08,436.6499938964844,26.540008544921875
2023-10-26,401.5400085449219,2023-11-09,435.1499938964844,33.6099853515625
2023-10-27,395.6199951171875,2023-11-10,447.239990234375,51.6199951171875
2023-10-31,404.6300048828125,2023-11-14,448.6499938964844,44.019989013671875
2023-11-06,429.6099853515625,2023-11-20,474.4700012207031,44.860015869140625
2023-11-07,431.0,2023-11-21,474.95001220703125,43.95001220703125
2023-11-13,442.6000061035156,2023-11-27,479.1700134277344,36.57000732421875
2023-11-30,470.4200134277344,2023-12-14,469.8299865722656,-0.59002685546875
2023-12-01,464.6000061035156,2023-12-15,472.05999755859375,7.459991455078125
2023-12-04,451.20001220703125,2023-12-18,486.1199951171875,34.91998291015625
2023-12-06,445.7300109863281,2023-12-20,489.2699890136719,43.53997802734375
2023-12-12,459.20001220703125,2023-12-26,491.19000244140625,31.989990234375
2023-12-14,464.760009765625,2023-12-28,490.510009765625,25.75
2023-12-21,486.7699890136719,2024-01-04,474.6700134277344,-12.0999755859375
2023-12-22,485.45001220703125,2024-01-05,474.05999755859375,-11.3900146484375
2023-12-29,481.94000244140625,2024-01-12,492.1600036621094,10.220001220703125
2024-01-02,461.8599853515625,2024-01-16,481.239990234375,19.3800048828125
2024-01-04,466.5299987792969,2024-01-18,485.30999755859375,18.779998779296875
2024-01-10,472.95001220703125,2024-01-24,544.8699951171875,71.91998291015625
2024-01-11,483.82000732421875,2024-01-25,562.0,78.17999267578125
2024-01-12,490.6099853515625,2024-01-26,570.4199829101562,79.80999755859375
2024-01-16,478.0199890136719,2024-01-30,562.8499755859375,84.82998657226562
2024-01-17,475.260009765625,2024-01-31,564.1099853515625,88.8499755859375
2024-01-19,476.05999755859375,2024-02-02,564.6400146484375,88.58001708984375
2024-01-22,479.8999938964844,2024-02-05,562.0599975585938,82.16000366210938
2024-01-23,481.3999938964844,2024-02-06,555.8800048828125,74.48001098632812
2024-01-29,562.6799926757812,2024-02-12,557.8499755859375,-4.83001708984375
2024-01-30,560.8200073242188,2024-02-13,554.52001953125,-6.29998779296875
2024-02-06,554.3699951171875,2024-02-20,575.1300048828125,20.760009765625
2024-02-09,558.0999755859375,2024-02-23,583.5599975585938,25.46002197265625
2024-02-16,577.4600219726562,2024-03-01,619.3400268554688,41.8800048828125
2024-02-20,569.6599731445312,2024-03-05,598.5,28.84002685546875
2024-02-21,567.3200073242188,2024-03-06,597.6900024414062,30.3699951171875
2024-02-23,579.8200073242188,2024-03-08,604.8200073242188,25.0
2024-02-29,595.1599731445312,2024-03-14,613.010009765625,17.85003662109375
2024-03-04,615.0800170898438,2024-03-18,618.3900146484375,3.30999755859375
2024-03-05,592.0,2024-03-19,620.739990234375,28.739990234375
