Buy Date,Buy Price,Sell Date,Sell Price,Long Profit
2023-09-01,136.8800048828125,2023-09-15,140.38999938964844,3.5099945068359375
2023-09-05,135.82000732421875,2023-09-19,137.6300048828125,1.80999755859375
2023-09-06,134.61000061035156,2023-09-20,135.2899932861328,0.67999267578125
2023-09-12,140.61000061035156,2023-09-26,125.9800033569336,-14.629997253417969
2023-09-14,142.9499969482422,2023-09-28,125.9800033569336,-16.969993591308594
2023-09-15,140.08999633789062,2023-09-29,127.12000274658203,-12.969993591308594
2023-09-19,135.55999755859375,2023-10-03,124.72000122070312,-10.839996337890625
2023-09-20,135.1999969482422,2023-10-04,127.0,-8.199996948242188
2023-09-21,129.30999755859375,2023-10-05,125.95999908447266,-3.3499984741210938
2023-09-22,128.52000427246094,2023-10-06,127.95999908447266,-0.5600051879882812
2023-09-26,125.27999877929688,2023-10-10,129.47999572753906,4.1999969482421875
2023-09-27,124.12999725341797,2023-10-11,131.8300018310547,7.700004577636719
2023-09-29,126.31999969482422,2023-10-13,129.7899932861328,3.4699935913085938
2023-10-03,124.25,2023-10-17,131.47000122070312,7.220001220703125
2023-10-05,124.33000183105469,2023-10-19,128.39999389648438,4.0699920654296875
2023-10-09,124.76000213623047,2023-10-23,126.55999755859375,1.7999954223632812
2023-10-13,128.9499969482422,2023-10-27,127.73999786376953,-1.2099990844726562
2023-10-17,128.7100067138672,2023-10-31,133.08999633789062,4.3799896240234375
2023-10-18,127.51000213623047,2023-11-01,137.0,9.489997863769531
2023-10-19,127.47000122070312,2023-11-02,138.07000732421875,10.600006103515625
2023-10-20,124.97000122070312,2023-11-03,138.60000610351562,13.6300048828125
2023-10-24,126.33999633789062,2023-11-07,142.7100067138672,16.370010375976562
2023-10-25,120.79000091552734,2023-11-08,142.0800018310547,21.290000915527344
2023-10-26,118.3499984741211,2023-11-09,140.60000610351562,22.25000762939453
2023-11-02,136.47000122070312,2023-11-16,142.8300018310547,6.3600006103515625
2023-11-03,137.4499969482422,2023-11-17,145.17999267578125,7.7299957275390625
2023-11-08,141.22000122070312,2023-11-22,146.7100067138672,5.4900054931640625
2023-11-15,142.58999633789062,2023-11-29,146.32000732421875,3.730010986328125
2023-11-21,141.5,2023-12-05,146.8800048828125,5.3800048828125
2023-11-29,145.97000122070312,2023-12-13,148.83999633789062,2.8699951171875
2023-12-04,142.80999755859375,2023-12-18,154.07000732421875,11.260009765625
2023-12-06,144.27999877929688,2023-12-20,152.1199951171875,7.839996337890625
2023-12-14,145.52000427246094,2023-12-28,153.3800048828125,7.8600006103515625
2023-12-19,152.69000244140625,2024-01-02,149.92999267578125,-2.760009765625
2023-12-29,151.02999877929688,2024-01-12,154.6199951171875,3.589996337890625
2024-01-02,148.38999938964844,2024-01-16,153.16000366210938,4.7700042724609375
2024-01-04,144.0500030517578,2024-01-18,153.5,9.449996948242188
2024-01-11,153.1199951171875,2024-01-25,157.75,4.6300048828125
2024-01-17,149.91000366210938,2024-01-31,155.1999969482422,5.2899932861328125
2024-01-22,153.89999389648438,2024-02-05,170.30999755859375,16.410003662109375
2024-01-25,154.5500030517578,2024-02-08,169.83999633789062,15.289993286132812
2024-01-30,158.49000549316406,2024-02-13,168.63999938964844,10.149993896484375
2024-01-31,154.80999755859375,2024-02-14,170.97999572753906,16.169998168945312
2024-02-02,167.3300018310547,2024-02-16,169.50999450683594,2.17999267578125
2024-02-06,167.64999389648438,2024-02-20,167.0800018310547,-0.5699920654296875
2024-02-12,171.5399932861328,2024-02-26,174.72999572753906,3.19000244140625
2024-02-13,165.75,2024-02-27,173.5399932861328,7.7899932861328125
2024-02-15,167.58999633789062,2024-02-29,176.75999450683594,9.169998168945312
2024-02-20,165.74000549316406,2024-03-05,174.1199951171875,8.379989624023438
2024-02-21,167.13999938964844,2024-03-06,173.50999450683594,6.3699951171875
2024-03-05,173.3000030517578,2024-03-19,175.89999389648438,2.5999908447265625
2024-03-06,173.25999450683594,2024-03-20,178.14999389648438,4.8899993896484375
2024-03-08,174.3300018310547,2024-03-22,178.8699951171875,4.5399932861328125
2024-03-11,171.47000122070312,2024-03-25,179.7100067138672,8.240005493164062
2024-03-21,178.14999389648438,2024-04-04,180.0,1.850006103515625
2024-03-26,177.9499969482422,2024-04-09,185.6699981689453,7.720001220703125
2024-03-27,177.30999755859375,2024-04-10,185.9499969482422,8.639999389648438
2024-04-04,180.0,2024-04-18,179.22000122070312,-0.779998779296875
2024-04-08,184.80999755859375,2024-04-22,177.22999572753906,-7.5800018310546875
2024-04-09,184.1999969482422,2024-04-23,179.5399932861328,-4.660003662109375
2024-04-12,185.0800018310547,2024-04-26,179.6199951171875,-5.4600067138671875
2024-04-15,183.0,2024-04-29,180.9600067138672,-2.0399932861328125
2024-04-17,179.82000732421875,2024-05-01,179.0,-0.82000732421875
2024-04-18,178.64999389648438,2024-05-02,184.72000122070312,6.07000732421875
2024-04-19,173.44000244140625,2024-05-03,186.2100067138672,12.770004272460938
2024-04-22,174.55999755859375,2024-05-06,188.6999969482422,14.139999389648438
2024-04-23,175.97999572753906,2024-05-07,188.75999450683594,12.779998779296875
2024-04-24,176.17999267578125,2024-05-08,188.0,11.82000732421875
2024-04-25,166.32000732421875,2024-05-09,189.5,23.17999267578125
2024-04-29,179.38999938964844,2024-05-13,186.57000732421875,7.1800079345703125
2024-04-30,174.8000030517578,2024-05-14,187.07000732421875,12.270004272460938
2024-05-01,176.55999755859375,2024-05-15,185.99000549316406,9.430007934570312
2024-05-10,186.92999267578125,2024-05-24,180.75,-6.17999267578125
2024-05-15,182.72999572753906,2024-05-29,182.02000427246094,-0.709991455078125
2024-05-16,183.4600067138672,2024-05-30,179.32000732421875,-4.1399993896484375
2024-05-22,181.97000122070312,2024-06-05,181.27999877929688,-0.69000244140625
2024-05-23,180.0800018310547,2024-06-06,185.0,4.9199981689453125
2024-05-30,178.36000061035156,2024-06-13,183.8300018310547,5.470001220703125
2024-05-31,173.8699951171875,2024-06-14,183.66000366210938,9.790008544921875
2024-06-03,175.9199981689453,2024-06-17,184.05999755859375,8.139999389648438
2024-06-11,184.5399932861328,2024-06-25,186.33999633789062,1.8000030517578125
2024-06-12,185.42999267578125,2024-06-26,193.61000061035156,8.180007934570312
2024-06-13,182.6699981689453,2024-06-27,197.85000610351562,15.180007934570312
2024-06-18,181.42999267578125,2024-07-02,200.0,18.57000732421875
2024-06-21,185.86000061035156,2024-07-05,200.0,14.139999389648438
2024-06-24,185.3300018310547,2024-07-08,199.2899932861328,13.959991455078125
2024-06-28,192.5,2024-07-12,194.49000549316406,1.9900054931640625
2024-07-03,196.75999450683594,2024-07-17,187.92999267578125,-8.830001831054688
